,Unnamed: 0,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2020,2021,2022
44,382,95014,Cupertino,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,383,3195.0,3200.0,3265.0,3174.5,3395.0,3400.0,3400.0,3359.0,3362.5,3266.5,3200.0,3200.0,3295.0,3309.0,3150.0,3271.5,3550.0,3472.0,3493.0,3344.5,3332.0,3251.0,3270.5,3358.0,3370.5,3465.5,3495.0,3495.0,3500.0,3495.0,3458.0,3550.0,3500.0,3555.9455784163133,4021.889335726684,3338.7412275481906
45,389,95112,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,390,2972.0,2816.5,2900.0,2900.0,2909.0,2923.5,2854.0,2807.5,2767.0,2859.0,2863.5,2915.0,2854.0,2913.5,2980.0,3085.0,3152.5,3015.0,3060.0,3027.5,2950.0,3000.0,3002.5,3022.5,2865.0,2850.0,2825.0,2895.0,3020.0,3025.0,3110.0,3185.0,2885.0,2901.563241893873,3133.203763773821,2669.035932146753
46,426,94087,Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,427,2712.0,2808.0,2850.0,2900.0,3000.0,3041.0,3095.0,3000.0,2995.0,2900.0,2900.0,2849.0,2939.0,2795.0,2962.0,2908.5,2995.0,3180.0,3225.0,3204.0,3219.0,3109.0,2998.5,2995.0,3200.0,3193.5,3161.0,3195.0,3200.0,3338.5,3200.0,3176.0,3100.0,2978.358631861098,2163.954833020705,2395.441330970803
47,428,95125,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,429,2552.0,2504.0,2600.0,2597.5,2600.0,2595.0,2662.0,2645.0,2650.0,2605.0,2595.0,2645.0,2597.5,2531.0,2685.0,2610.0,2597.5,2649.0,2625.5,2890.0,3325.0,3200.0,3010.0,2850.0,2800.0,2745.0,2695.0,2695.0,2850.0,2850.0,2860.0,2695.0,2895.0,2923.4818449072404,3274.6371992190893,2725.1069979570916
48,458,94806,San Pablo,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,459,2170.0,2170.0,2250.0,2327.0,2353.5,2320.0,2415.0,2328.0,2371.0,2500.0,2437.5,2403.0,2411.0,2364.5,2200.0,2175.0,2222.0,2283.0,2281.0,2279.5,2200.0,2180.0,2143.0,2185.5,2150.0,2198.0,2248.0,2299.0,2300.0,2237.0,2205.0,2174.5,2240.0,2129.8526594345176,1578.4928549660701,1703.9865730425345
49,509,95008,Campbell,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,510,2495.0,2497.5,2472.0,2397.5,2495.0,2545.0,2670.0,2697.5,2640.0,2500.0,2544.0,2647.5,2640.0,2718.0,2795.0,2645.0,2804.5,2821.0,2900.0,2930.0,2795.0,2800.0,2905.0,2949.0,2800.0,2850.0,2834.5,2900.0,2850.0,2980.0,3069.5,2942.0,2919.0,3110.763287280583,3789.5003630807682,3026.1296229342825
50,576,94115,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,577,4195.0,4200.0,4447.0,4374.0,4350.0,4292.0,4375.5,4526.5,4679.5,4500.0,4300.0,4286.0,4244.0,4395.0,4490.0,4564.5,4499.5,4195.0,4453.0,4508.0,4502.0,4455.0,4397.5,4200.0,4254.0,4472.5,4350.0,4271.0,4150.0,4244.0,4495.0,4528.0,4493.0,4377.920285370658,4748.375389581067,4017.5260742912847
51,681,94117,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,682,3887.5,3750.0,3995.0,4200.0,4500.0,4495.0,4395.0,4400.0,4150.0,3995.0,3995.0,3850.0,3897.5,3947.5,3987.5,3995.0,4150.0,4450.0,4295.0,4250.0,4295.0,4200.0,4122.5,4147.5,4000.0,4000.0,3995.0,3995.0,3900.0,3995.0,4150.0,4200.0,4197.0,4130.062803680125,4465.734820150669,3783.3268133197603
52,704,94102,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,705,4550.0,4567.0,4552.5,4580.0,4752.5,4675.0,4810.0,4997.5,5000.0,4800.0,4800.0,4550.0,4392.5,4505.0,4542.5,4550.0,4800.0,5100.0,5100.0,4847.5,5195.0,4800.0,4811.0,4861.0,4795.0,4550.0,4962.5,5098.5,5387.5,5240.0,5098.5,4960.0,5110.0,5198.38112777476,5984.200283171534,4910.03378496978
53,717,94121,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,718,3700.0,3597.5,3650.0,3500.0,3495.0,3495.0,3700.0,3800.0,3485.0,3497.5,3400.0,3537.5,3537.5,3695.0,3600.0,3625.0,3495.0,3500.0,3500.0,3600.0,3500.0,3400.0,3300.0,3500.0,3597.5,3550.0,3695.0,3500.0,3537.5,3495.0,3465.0,3500.0,3450.0,3539.4351221950114,3838.6843505523957,3248.117518716566
54,801,94546,Castro Valley,CA,San Francisco-Oakland-Hayward,Alameda County,2,802,2189.0,2250.0,2102.5,2200.0,2200.0,2200.0,2300.0,2300.0,2227.5,2300.0,2270.0,2197.5,2155.0,2150.0,2000.0,2250.0,2250.0,2250.0,2252.5,2250.0,2200.0,2200.0,2297.5,2330.0,2250.0,2330.0,2295.0,2300.0,2305.0,2425.0,2350.0,2372.5,2350.0,2445.0430956002697,3118.6559401727986,2411.1905452962715
55,805,94118,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,805,3450.0,3650.0,3500.0,3495.0,3600.0,3693.5,3825.0,3847.5,3772.5,3800.0,3700.0,3600.0,3500.0,3500.0,3625.0,3795.0,3725.0,3700.0,3995.0,3800.0,3937.5,3895.0,3650.0,3697.5,3850.0,3600.0,3600.0,3750.0,3600.0,3695.0,3750.0,3750.0,3800.0,3706.091022695003,4004.808706266816,3388.687999453949
56,820,94403,San Mateo,CA,San Francisco-Oakland-Hayward,San Mateo County,2,821,2891.5,3014.0,3172.5,3025.0,2991.0,3073.5,3049.5,3082.0,3129.0,3151.0,3009.0,3011.5,3104.0,3119.0,3234.5,3177.0,3600.0,3990.0,3975.0,3949.5,3867.0,3949.0,3901.5,3775.0,3733.0,3647.5,3508.0,3685.0,3969.0,3950.0,3988.0,3872.0,3720.5,3762.7833689430577,3589.5204998607223,3348.561196156749
57,883,94114,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,884,4725.0,4662.5,4299.5,4500.0,4400.0,4350.0,4300.0,4500.0,4500.0,4725.0,4675.0,4600.0,4645.0,4725.0,4875.0,4850.0,4875.0,4800.0,4800.0,4725.0,4747.5,4500.0,4595.0,4475.0,4485.0,4500.0,4685.0,4768.0,4950.0,4800.0,4975.0,5035.5,5150.0,5752.538653457831,10048.48556006326,6589.440141486179
58,888,94103,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,889,4745.0,4800.0,4645.0,4737.5,4365.0,4400.0,4725.0,4600.0,4500.0,4596.0,4500.0,4567.5,4500.0,4638.0,4600.0,4600.0,4685.0,4831.0,4872.5,4858.5,4895.0,4810.0,4567.5,4457.0,4755.0,4593.5,4766.0,4830.0,4900.0,4884.5,4968.5,4911.5,4895.0,4733.990444990239,5100.56388503861,4315.951540083232
59,906,94107,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,907,4660.0,4673.5,4430.0,4700.0,4900.0,4996.0,4960.0,4795.0,4747.5,4662.5,4717.5,4685.0,4750.0,4682.5,4692.5,4726.0,4785.0,4895.0,4881.0,4886.0,4886.0,4981.0,4924.5,4858.0,4795.0,4811.0,4850.0,4865.0,4935.0,4979.0,4999.0,5034.0,5080.0,5165.3125,5929.895833333333,4873.229166666667
60,936,94566,Pleasanton,CA,San Francisco-Oakland-Hayward,Alameda County,2,937,2473.0,2513.0,2570.0,2600.0,2667.0,2675.5,2668.5,2800.0,2580.0,2500.0,2539.0,2531.5,2561.0,2700.0,2700.0,2585.0,2620.0,2659.0,2677.5,2703.0,2649.5,2647.0,2606.0,2645.0,2636.0,2658.0,3062.5,2710.0,2792.5,2870.0,2900.0,2627.5,2665.0,2623.7225328740574,2258.781870256402,2219.8484869726767
