,RegionName,City,State,Metro,CountyName,RoomType,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1208,94560,Newark,CA,San Francisco-Oakland-Hayward,Alameda County,2,1209,2643,2634.5,2707,2653,2671,2781,2818.5,2739,2714.5,2734.5,2600,2482.5,2547.5,2518,2579.5,2585.5,2500,2672.5,2803,2717,2726,2731.5,2726,2682,2728,2757,2673,2797,2700,2862.5,2825,2792.5,2775
1255,94523,Pleasant Hill,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,1256,2397.5,2369,2339,2350,2350,2364,2468.5,2450,2450,2305,2300,2415,2439,2500,2442,2402,2568,2589.5,2642,2499,2460,2521.5,2530,2530,2546.5,2558,2582.5,2643,2625.5,2585,2600,2529,2500
1257,94123,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,1258,5000,5395,5337.5,4995,4750,4925,4850,5100,4825,4687.5,4700,4600,4750,5050,4700,4650,4750,4995,5500,5400,5200,5325,5100,5200,5300,5100,5000,5000,5097.5,5000,5200,5322.5,5250
1313,95129,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1311,2531,2425,2495,2693,2750,2650,2588,2805,2630,2655,2712,2700.5,2750,2753.5,2752.5,2796,2804.5,2850.5,2850,2850,2867,2940,2905,2945,2938,2860,2884,2946,2938,2986.5,2931.5,3032.5,3017
1348,94583,San Ramon,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,1349,2400,2500,2500,2500,2500,2545,2377,2450,2401,2350,2332,2350,2540,2545,2497.5,2495,2485,2593,2548,2410,2383,2397.5,2380.5,2320,2400,2450,2500,2520,2511.5,2520,2575,2520,2442.5
1436,95134,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1437,3005,3065,3105,3142.5,3146.5,3190,3120,3095,3011.5,2970,2934,2959,3020,3040,3095,3225,3349,3388,3387.5,3345,3297.5,3185,3090,3092,3170,3225,3338,3310,3395.5,3470,3460,3375,3340.5
1474,94043,Mountain View,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1475,3397.5,3355,3303,3497.5,3500,3495,3467.5,3500,3312.5,3265,3097.5,3317.5,3295,3470,3495,3295,3500,3509.5,3519,3717.5,3495,3435,3285,3162.5,3425,3375,3410,3472.5,3622.5,3980,3657.5,3650,3580
1539,94133,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,2,1540,3995,4322.5,4322.5,4195,4145,4250,4469,4250,4239,4000,4250,4392.5,4499,4195,4319,4234,4122.5,4199,4150,4499,4595,4500,4345,4347,4499,4400,4424.5,4195,4454,4395,4500,4502,4679
1758,94306,Palo Alto,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2,1759,3525,3550,3588,3569,3850,3825,3900,3550,3600,3500,3420,3350,3440,3505,3345,3485,3495,3530,3610,4200,3990,3925,4000,3785,3792.5,3525,3495,3850,3900,4137.5,4000,4197.5,4225
1847,94596,Walnut Creek,CA,San Francisco-Oakland-Hayward,Contra Costa County,2,1848,2435.5,2653,2365,2450,2405,2550,2950,3285.5,3000,2850,2887.5,2946.5,2800,2849,2613,2600,2590,2657,2794,2747.5,2639,2600,2800,2717,2715,2700,3051,2988,2812.5,2951.5,2906,2835,2750
